"","Division Code","division_cost","type"
"1","100F",3200173.88201696,"Committee Classifier"
"2","250F",3314095.00963667,"Committee Classifier"
"3","300F",6290145.42400368,"Committee Classifier"
"4","400F",8556780.02056447,"Committee Classifier"
"5","460F",2124739.11381186,"Committee Classifier"
"6","500F",15041246.8395426,"Committee Classifier"
"7","600F",12486735.7630729,"Committee Classifier"
"8","700F",2299491.30495654,"Committee Classifier"
"9","730F",3191940.62663523,"Committee Classifier"
"10","750S",476469.109977932,"Committee Classifier"
"11","ADVD",156972.72396828,"Committee Classifier"
"12","AFFF",2047375.53606145,"Committee Classifier"
"13","CSDD",3491812.43566269,"Committee Classifier"
"14","ISRG",2996211.64922762,"Committee Classifier"
"15","MULTI",2540884.47586618,"Committee Classifier"
"16","PROPERTY P'FOLIO",9081022.22038894,"Committee Classifier"
"17","SHARED INFRA",7172441.27582562,"Committee Classifier"
"18","UNIG",6934150.93100596,"Committee Classifier"
"19","USDD",14752060.4365822,"Committee Classifier"
